Link,Bedrooms,Bathrooms,Area,Price,Price_per_meter,Address,City,Location1,Location2,Unit,Type,Rent_sale
https://remax.com.eg/property/ground-apartment-for-sale-in-la-colina-5209,1,2,104,"EGP 6,678,092",64212.42,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Sale
https://remax.com.eg/property/penthouse-for-sale-mountain-view-hyde-park-new-cairo-5206,4,3,166,"EGP 8,750,000",52710.84,"New Cairo City - Cairo , Egypt",Cairo,New Cairo City,None,Apartment,Residential,Sale
https://remax.com.eg/property/prime-location-apartment-in-courtyard-sodic-5204,3,3,200,"EGP 15,000,000",75000.0,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Sale
https://remax.com.eg/property/furnished-apartment-for-rent-in-hyde-park-super-lux-finishing-first-use-5196,3,3,199,"EGP 780,000",3919.6,"New Cairo City - Cairo , Egypt",Cairo,New Cairo City,None,Apartment,Residential,Rent
https://remax.com.eg/property/apartment-for-sale-177-m-rushdi-steps-from-syria-street-5212,3,1,177,"EGP 5,950,000",33615.82,"Hay Sharq - Alexandria , Egypt",Alexandria,Hay Sharq,None,Apartment,Residential,Rent
https://remax.com.eg/property/240-m-commercial-scale-for-sale-in-smouha-fawzy-moaz-street-5211,0,2,240,"EGP 24,000,000",100000.0,"Hay Sharq - Alexandria , Egypt",Alexandria,Hay Sharq,None,Apartment,Commercial,Rent
https://remax.com.eg/property/luxury-apartment-for-sale-park-corner-phase-open-view-5197,2,2,145,"EGP 9,950,000",68620.69,"New Cairo City - Cairo , Egypt",Cairo,New Cairo City,None,Apartment,Residential,Sale
https://remax.com.eg/property/distinctive-apartment-for-sale-105-m-janaklis-al-fath-street-5224,3,1,105,"EGP 3,350,000",31904.76,"Hay Sharq - Alexandria , Egypt",Alexandria,Hay Sharq,None,Apartment,Residential,Rent
https://remax.com.eg/property/office-for-rent-in-kazan-plaza-5228,2,1,90,"EGP 45,000",500.0,"6 October City - Giza , Egypt",Giza,6 October City,None,Apartment,Residential,Rent
https://remax.com.eg/property/furnished-apartment-for-rent-in-el-continental-gardens-5227,3,2,170,"EGP 40,000",235.29,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Rent
https://remax.com.eg/property/apartment-for-sale-mountain-view-aliva-mostakbal-city-5198,3,3,140,"EGP 9,500,000",67857.14,"New Cairo City - Cairo , Egypt",Cairo,New Cairo City,None,Apartment,Residential,Sale
https://remax.com.eg/property/apartment-for-sale-144-m-smouha-al-nasr-street-5225,3,1,144,"EGP 4,200,000",29166.67,"Hay Sharq - Alexandria , Egypt",Alexandria,Hay Sharq,None,Apartment,Residential,Rent
https://remax.com.eg/property/licensed-apartment-175-m-for-sale-moharram-bek-on-zein-el-abedin-tram-5166,3,2,175,"EGP 4,375,000",25000.0,"Hay Sharq - Alexandria , Egypt",Alexandria,Hay Sharq,None,Apartment,Residential,Sale
https://remax.com.eg/property/resale-fully-finished-studio-with-terrace-zed-west-5173,1,1,89,"EGP 6,900,000",77528.09,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Sale
https://remax.com.eg/property/ground-duplex-for-rent-in-casa-beverly-hills-5160,3,3,245,"EGP 55,000",224.49,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Rent
https://remax.com.eg/property/a-unique-furnished-apartment-for-rent-zed-towers-5120,3,3,160,"EGP 70,000",437.5,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Rent
https://remax.com.eg/property/duplex-for-sale-in-mountain-view-i-city-6th-of-october-5150,3,3,210,"EGP 7,875,000",37500.0,"6 October City - Giza , Egypt",Giza,6 October City,None,Apartment,Residential,Sale
https://remax.com.eg/property/prime-location-office-in-capital-business-park-5119,0,1,62,"EGP 75,000",1209.68,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Rent
https://remax.com.eg/property/resale-apartment-in-zed-west-sheikh-zayed-5146,2,2,140,"EGP 8,700,000",62142.86,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Sale
https://remax.com.eg/property/prime-location-furnished-apartment-in-al-khamayel-5121,3,2,150,"EGP 35,000",233.33,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,None
https://remax.com.eg/property/apartment-for-rent-in-badya-5195,1,1,84,"EGP 18,000",214.29,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Rent
https://remax.com.eg/property/ground-duplex-for-rent-kitchen-and-acs-in-casa-5130,3,3,234,"EGP 45,000",192.31,"6 October City - Giza , Egypt",Giza,6 October City,None,Apartment,Residential,Rent
https://remax.com.eg/property/apartment-with-kitchen-and-acs-in-zed-west-5112,3,3,161,"EGP 32,000",198.76,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Rent
https://remax.com.eg/property/apartment-for-sale-in-karma-residence-5144,2,2,137,"EGP 6,200,000",45255.47,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Sale
